name,price,image,images,description,category,subcategory,sku,status,approval_status,featured,stock,rating,benefits,ingredients,shades,notes,paletteTheme
"Amazing Face Cream",49.99,"https://example.com/images/face_cream.jpg","{""https://example.com/images/face_cream_1.jpg"",""https://example.com/images/face_cream_2.jpg""}","This is an amazing face cream.","Skincare","Moisturizers","SKU001","active","approved",true,100,4.5,"{""hydration"": ""excellent"", ""texture"": ""smooth""}","{""aqua"": """", ""glycerin"": """"}","[{""name"": ""Natural"", ""code"": ""#F5E6D3""}]","{""top"": ""Rose"", ""middle"": ""Jasmine""}","Floral"
"Luxury Serum",75.00,"https://example.com/images/serum.jpg","{""https://example.com/images/serum_1.jpg""}","A luxurious serum for radiant skin.","Skincare","Serums","SKU002","active","approved",false,50,4.8,"{""anti-aging"": true, ""brightening"": true}","{""vitamin_c"": """", ""hyaluronic_acid"": """"}","[]","{""top"": ""Citrus"", ""base"": ""Musk""}","Fresh"
"Radiant Glow Serum",55.00,"https://example.com/images/skincare_serum_1.jpg","{""https://example.com/images/skincare_serum_1_thumb1.jpg"",""https://example.com/images/skincare_serum_1_thumb2.jpg""}","A powerful serum to boost skin radiance and reduce fine lines.","Skincare","Serums","SKIN001","active","approved",true,150,4.7,"{""radiance_boost"": true, ""anti_aging"": true}","{""vitamin_c"": ""10%"", ""hyaluronic_acid"": ""2%""}","[]","",""
"Hydrating Daily Moisturizer",35.00,"https://example.com/images/skincare_moisturizer_1.jpg","{""https://example.com/images/skincare_moisturizer_1_thumb1.jpg""}","Lightweight daily moisturizer for all skin types.","Skincare","Moisturizers","SKIN002","active","approved",false,200,4.5,"{""hydration"": ""24hr"", ""lightweight"": true}","{""aqua"": """", ""glycerin"": """", ""shea_butter"": """"}","[]","",""
"Gentle Cleansing Foam",25.00,"https://example.com/images/skincare_cleanser_1.jpg","{""https://example.com/images/skincare_cleanser_1_thumb1.jpg""}","Removes impurities without stripping natural oils.","Skincare","Cleansers","SKIN003","active","approved",false,180,4.6,"{""gentle_formula"": true, ""deep_cleanse"": true}","{""aloe_vera"": """", ""green_tea_extract"": """"}","[]","",""
"Revitalizing Eye Cream",45.00,"https://example.com/images/skincare_eyecream_1.jpg","{""https://example.com/images/skincare_eyecream_1_thumb1.jpg""}","Reduces dark circles and puffiness around the eyes.","Skincare","Eye Care","SKIN004","active","approved",true,120,4.8,"{""dark_circle_reduction"": true, ""anti_puffiness"": true}","{""peptides"": """", ""caffeine"": """"}","[]","",""
"Exfoliating Face Scrub",30.00,"https://example.com/images/skincare_scrub_1.jpg","{""https://example.com/images/skincare_scrub_1_thumb1.jpg""}","Gently exfoliates dead skin cells for a smoother complexion.","Skincare","Exfoliators","SKIN005","active","approved",false,160,4.4,"{""smooths_skin"": true, ""removes_dead_cells"": true}","{""apricot_seeds"": """", ""salicylic_acid"": """"}","[]","",""
"Soothing Toner Mist",28.00,"https://example.com/images/skincare_toner_1.jpg","{""https://example.com/images/skincare_toner_1_thumb1.jpg""}","Calms and hydrates skin, preparing it for serums.","Skincare","Toners","SKIN006","active","approved",false,170,4.5,"{""calming"": true, ""hydrating"": true}","{""rosewater"": """", ""chamomile"": """"}","[]","",""
"Vitamin C Brightening Mask",40.00,"https://example.com/images/skincare_mask_1.jpg","{""https://example.com/images/skincare_mask_1_thumb1.jpg""}","Weekly mask for a brighter, more even skin tone.","Skincare","Masks","SKIN007","active","approved",true,100,4.7,"{""brightening"": true, ""evens_skin_tone"": true}","{""kaolin_clay"": """", ""vitamin_c_extract"": """"}","[]","",""
"SPF 50 Sunscreen Lotion",32.00,"https://example.com/images/skincare_sunscreen_1.jpg","{""https://example.com/images/skincare_sunscreen_1_thumb1.jpg""}","Broad-spectrum protection against UVA/UVB rays.","Skincare","Sunscreens","SKIN008","active","approved",false,250,4.9,"{""broad_spectrum_spf50"": true, ""non_greasy"": true}","{""zinc_oxide"": """", ""titanium_dioxide"": """"}","[]","",""
"Night Repair Oil",60.00,"https://example.com/images/skincare_oil_1.jpg","{""https://example.com/images/skincare_oil_1_thumb1.jpg""}","Nourishing oil for overnight skin regeneration.","Skincare","Face Oils","SKIN009","active","approved",true,90,4.8,"{""regenerating"": true, ""nourishing"": true}","{""rosehip_oil"": """", ""jojoba_oil"": """"}","[]","",""
"Acne Spot Treatment",22.00,"https://example.com/images/skincare_acne_1.jpg","{""https://example.com/images/skincare_acne_1_thumb1.jpg""}","Targets and reduces blemishes quickly.","Skincare","Treatments","SKIN010","active","approved",false,130,4.3,"{""fast_acting"": true, ""reduces_blemishes"": true}","{""tea_tree_oil"": """", ""benzoyl_peroxide"": """"}","[]","",""
"Velvet Matte Foundation",40.00,"https://example.com/images/makeup_foundation_1.jpg","{""https://example.com/images/makeup_foundation_1_thumb1.jpg""}","Full coverage foundation with a matte finish.","Makeup","Face","MAKE001","active","approved",true,180,4.6,"{""full_coverage"": true, ""matte_finish"": true}","{""dimethicone"": """", ""talc"": """"}","[{""name"": ""Ivory"", ""code"": ""#FFF8DC""},{""name"": ""Beige"", ""code"": ""#F5F5DC""},{""name"": ""Tan"", ""code"": ""#D2B48C""}]","",""
"Luminous Glow Highlighter",30.00,"https://example.com/images/makeup_highlighter_1.jpg","{""https://example.com/images/makeup_highlighter_1_thumb1.jpg""}","Powder highlighter for a radiant glow.","Makeup","Face","MAKE002","active","approved",false,150,4.8,"{""radiant_glow"": true, ""buildable"": true}","{""mica"": """", ""silica"": """"}","[{""name"": ""Champagne Pop"", ""code"": ""#F7E7CE""},{""name"": ""Rose Gold"", ""code"": ""#B76E79""}]","",""
"Precision Liquid Eyeliner",25.00,"https://example.com/images/makeup_eyeliner_1.jpg","{""https://example.com/images/makeup_eyeliner_1_thumb1.jpg""}","Waterproof liquid eyeliner with a fine tip.","Makeup","Eyes","MAKE003","active","approved",true,200,4.7,"{""waterproof"": true, ""precision_tip"": true}","{""carbon_black"": """", ""aqua"": """"}","[{""name"": ""Jet Black"", ""code"": ""#000000""},{""name"": ""Dark Brown"", ""code"": ""#654321""}]","",""
"Volumizing Mascara",28.00,"https://example.com/images/makeup_mascara_1.jpg","{""https://example.com/images/makeup_mascara_1_thumb1.jpg""}","Adds volume and length to lashes without clumping.","Makeup","Eyes","MAKE004","active","approved",false,220,4.5,"{""volumizing"": true, ""lengthening"": true, ""clump_free"": true}","{""beeswax"": """", ""iron_oxides"": """"}","[{""name"": ""Blackest Black"", ""code"": ""#000000""}]","",""
"Nude Eyeshadow Palette",50.00,"https://example.com/images/makeup_eyeshadow_1.jpg","{""https://example.com/images/makeup_eyeshadow_1_thumb1.jpg""}","Palette with 12 versatile nude shades.","Makeup","Eyes","MAKE005","active","approved",true,160,4.9,"{""versatile_shades"": true, ""highly_pigmented"": true}","{""talc"": """", ""mica"": """", ""magnesium_stearate"": """"}","[{""name"": ""Warm Nude"", ""code"": ""#D8BFD8""},{""name"": ""Cool Nude"", ""code"": ""#E6E6FA""}]","","Neutral Tones"
"Creamy Satin Lipstick",26.00,"https://example.com/images/makeup_lipstick_1.jpg","{""https://example.com/images/makeup_lipstick_1_thumb1.jpg""}","Hydrating lipstick with a satin finish.","Makeup","Lips","MAKE006","active","approved",false,190,4.6,"{""hydrating"": true, ""satin_finish"": true}","{""castor_oil"": """", ""candelilla_wax"": """"}","[{""name"": ""Classic Red"", ""code"": ""#FF0000""},{""name"": ""Dusty Rose"", ""code"": ""#D8BFD8""},{""name"": ""Berry Bliss"", ""code"": ""#8A2BE2""}]","",""
"Long-Lasting Lip Liner",20.00,"https://example.com/images/makeup_lipliner_1.jpg","{""https://example.com/images/makeup_lipliner_1_thumb1.jpg""}","Defines lips and prevents lipstick feathering.","Makeup","Lips","MAKE007","active","approved",false,170,4.4,"{""long_lasting"": true, ""prevents_feathering"": true}","{""carnauba_wax"": """", ""vitamin_e"": """"}","[{""name"": ""Nude Pink"", ""code"": ""#FFC0CB""},{""name"": ""Deep Plum"", ""code"": ""#DDA0DD""}]","",""
"Translucent Setting Powder",32.00,"https://example.com/images/makeup_powder_1.jpg","{""https://example.com/images/makeup_powder_1_thumb1.jpg""}","Sets makeup for a flawless, long-lasting look.","Makeup","Face","MAKE008","active","approved",true,140,4.7,"{""sets_makeup"": true, ""translucent_finish"": true}","{""silica"": """", ""corn_starch"": """"}","[{""name"": ""Universal Translucent"", ""code"": ""#FFFFFF""}]","",""
"Blush & Bronze Duo",38.00,"https://example.com/images/makeup_blushbronze_1.jpg","{""https://example.com/images/makeup_blushbronze_1_thumb1.jpg""}","Compact with a complementary blush and bronzer.","Makeup","Face","MAKE009","active","approved",false,130,4.8,"{""two_in_one"": true, ""natural_look"": true}","{""talc"": """", ""zinc_stearate"": """"}","[{""name"": ""Peachy Keen / Sun Kissed"", ""code"": ""#FFDAB9""}]","","Warm Glow"
"Eyebrow Defining Pencil",23.00,"https://example.com/images/makeup_eyebrow_1.jpg","{""https://example.com/images/makeup_eyebrow_1_thumb1.jpg""}","Fills and defines brows for a natural look.","Makeup","Eyes","MAKE010","active","approved",false,160,4.5,"{""natural_definition"": true, ""smudge_proof"": true}","{""hydrogenated_vegetable_oil"": """", ""ceresin_wax"": """"}","[{""name"": ""Soft Brown"", ""code"": ""#A0522D""},{""name"": ""Dark Ash"", ""code"": ""#A9A9A9""}]","",""
"Signature Eau de Parfum",85.00,"https://example.com/images/fragrance_edp_1.jpg","{""https://example.com/images/fragrance_edp_1_thumb1.jpg""}","A captivating floral and woody scent.","Fragrance","Women's Perfume","FRAG001","active","approved",true,100,4.9,"{""long_lasting_scent"": true, ""elegant_bottle"": true}","{""alcohol_denat"": """", ""parfum"": """"}","[]","{""top"": ""Bergamot, Pink Pepper"", ""middle"": ""Rose, Jasmine"", ""base"": ""Patchouli, Vanilla""}","Floral Woody"
"Ocean Breeze Eau de Toilette",65.00,"https://example.com/images/fragrance_edt_1.jpg","{""https://example.com/images/fragrance_edt_1_thumb1.jpg""}","Fresh and invigorating scent for daily wear.","Fragrance","Men's Cologne","FRAG002","active","approved",false,120,4.7,"{""refreshing"": true, ""daily_wear"": true}","{""alcohol_denat"": """", ""aqua"": """", ""parfum"": """"}","[]","{""top"": ""Sea Salt, Citrus"", ""middle"": ""Lavender, Sage"", ""base"": ""Cedarwood, Musk""}","Aquatic Fresh"
"Midnight Bloom Body Mist",30.00,"https://example.com/images/fragrance_mist_1.jpg","{""https://example.com/images/fragrance_mist_1_thumb1.jpg""}","Light and alluring body mist with floral notes.","Fragrance","Body Mists","FRAG003","active","approved",false,150,4.5,"{""light_scent"": true, ""all_over_spray"": true}","{""aqua"": """", ""alcohol_denat"": """", ""parfum"": """"}","[]","{""top"": ""Plum"", ""middle"": ""Night Blooming Jasmine"", ""base"": ""Amber""}","Fruity Floral"
"Spiced Amber Cologne",70.00,"https://example.com/images/fragrance_cologne_1.jpg","{""https://example.com/images/fragrance_cologne_1_thumb1.jpg""}","Warm and spicy cologne for evening occasions.","Fragrance","Men's Cologne","FRAG004","active","approved",true,90,4.8,"{""warm_scent"": true, ""evening_wear"": true}","{""alcohol_denat"": """", ""parfum"": """", ""coumarin"": """"}","[]","{""top"": ""Cardamom, Black Pepper"", ""middle"": ""Nutmeg, Saffron"", ""base"": ""Amber, Sandalwood""}","Spicy Oriental"
"Rose Garden Perfume Oil",45.00,"https://example.com/images/fragrance_oil_1.jpg","{""https://example.com/images/fragrance_oil_1_thumb1.jpg""}","Concentrated perfume oil with a delicate rose scent.","Fragrance","Perfume Oils","FRAG005","active","approved",false,80,4.6,"{""concentrated"": true, ""roll_on_applicator"": true}","{""simmondsia_chinensis_seed_oil"": """", ""parfum"": """"}","[]","{""top"": ""Rose Petals"", ""middle"": ""Geranium"", ""base"": ""White Musk""}","Pure Floral"
"Citrus Burst Unisex Spray",55.00,"https://example.com/images/fragrance_unisex_1.jpg","{""https://example.com/images/fragrance_unisex_1_thumb1.jpg""}","Uplifting citrus fragrance suitable for everyone.","Fragrance","Unisex","FRAG006","active","approved",false,110,4.7,"{""unisex_appeal"": true, ""energizing"": true}","{""alcohol_denat"": """", ""limonene"": """", ""linalool"": """"}","[]","{""top"": ""Lemon, Grapefruit"", ""middle"": ""Orange Blossom"", ""base"": ""Vetiver""}","Citrus Aromatic"
"Vanilla Dream Solid Perfume",35.00,"https://example.com/images/fragrance_solid_1.jpg","{""https://example.com/images/fragrance_solid_1_thumb1.jpg""}","Portable solid perfume with a sweet vanilla aroma.","Fragrance","Solid Perfumes","FRAG007","active","approved",false,70,4.4,"{""portable"": true, ""subtle_scent"": true}","{""beeswax"": """", ""cocos_nucifera_oil"": """", ""parfum"": """"}","[]","{""top"": ""Vanilla Bean"", ""middle"": ""Caramel"", ""base"": ""Musk""}","Sweet Gourmand"
"Oud Mystique Attar",95.00,"https://example.com/images/fragrance_attar_1.jpg","{""https://example.com/images/fragrance_attar_1_thumb1.jpg""}","Traditional attar with rich oud and spice notes.","Fragrance","Attars","FRAG008","active","approved",true,60,4.9,"{""traditional_blend"": true, ""intense_aroma"": true}","{""santalum_album_oil"": """", ""aquilaria_agallocha_oil"": """"}","[]","{""top"": ""Saffron"", ""middle"": ""Oud, Rose"", ""base"": ""Amber, Musk""}","Oriental Woody"
"Lavender Calm Pillow Mist",25.00,"https://example.com/images/fragrance_pillow_1.jpg","{""https://example.com/images/fragrance_pillow_1_thumb1.jpg""}","Relaxing lavender mist for pillows and linens.","Fragrance","Home Fragrance","FRAG009","active","approved",false,130,4.6,"{""promotes_relaxation"": true, ""natural_lavender"": true}","{""aqua"": """", ""lavandula_angustifolia_oil"": """"}","[]","{""top"": ""Lavender"", ""middle"": ""Chamomile"", ""base"": ""Sandalwood""}","Aromatic Herbal"
"Travel Fragrance Atomizer Set",40.00,"https://example.com/images/fragrance_atomizer_1.jpg","{""https://example.com/images/fragrance_atomizer_1_thumb1.jpg""}","Set of 3 refillable atomizers for travel.","Fragrance","Accessories","FRAG010","active","approved",false,100,4.5,"{""travel_friendly"": true, ""refillable"": true}","{""aluminum"": """", ""glass"": """"}","[]","",""
"Nourishing Argan Oil Shampoo",28.00,"https://example.com/images/hair_shampoo_1.jpg","{""https://example.com/images/hair_shampoo_1_thumb1.jpg""}","Sulfate-free shampoo with argan oil for dry hair.","Hair Products","Shampoos","HAIR001","active","approved",true,180,4.7,"{""nourishing"": true, ""sulfate_free"": true}","{""argania_spinosa_kernel_oil"": """", ""cocamidopropyl_betaine"": """"}","[]","",""
"Repairing Keratin Conditioner",30.00,"https://example.com/images/hair_conditioner_1.jpg","{""https://example.com/images/hair_conditioner_1_thumb1.jpg""}","Deep conditioner with keratin to repair damaged hair.","Hair Products","Conditioners","HAIR002","active","approved",false,160,4.6,"{""repairing"": true, ""strengthens_hair"": true}","{""hydrolyzed_keratin"": """", ""cetyl_alcohol"": """"}","[]","",""
"Volumizing Hair Mousse",25.00,"https://example.com/images/hair_mousse_1.jpg","{""https://example.com/images/hair_mousse_1_thumb1.jpg""}","Lightweight mousse for added volume and hold.","Hair Products","Styling","HAIR003","active","approved",false,140,4.5,"{""adds_volume"": true, ""lightweight_hold"": true}","{""pvp"": """", ""panthenol"": """"}","[]","",""
"Heat Protectant Spray",22.00,"https://example.com/images/hair_heatprotect_1.jpg","{""https://example.com/images/hair_heatprotect_1_thumb1.jpg""}","Protects hair from heat styling up to 450Â°F.","Hair Products","Styling","HAIR004","active","approved",true,200,4.8,"{""heat_protection"": true, ""reduces_damage"": true}","{""cyclopentasiloxane"": """", ""dimethiconol"": """"}","[]","",""
"Curl Defining Cream",26.00,"https://example.com/images/hair_curlcream_1.jpg","{""https://example.com/images/hair_curlcream_1_thumb1.jpg""}","Enhances natural curls and reduces frizz.","Hair Products","Styling","HAIR005","active","approved",false,150,4.7,"{""defines_curls"": true, ""anti_frizz"": true}","{""shea_butter"": """", ""coconut_oil"": """"}","[]","",""
"Dry Shampoo Refresh",20.00,"https://example.com/images/hair_dryshampoo_1.jpg","{""https://example.com/images/hair_dryshampoo_1_thumb1.jpg""}","Absorbs oil and refreshes hair between washes.","Hair Products","Shampoos","HAIR006","active","approved",false,170,4.4,"{""absorbs_oil"": true, ""refreshes_hair"": true}","{""oryza_sativa_starch"": """", ""alcohol_denat"": """"}","[]","",""
"Shine Enhancing Hair Serum",32.00,"https://example.com/images/hair_serum_1.jpg","{""https://example.com/images/hair_serum_1_thumb1.jpg""}","Adds brilliant shine and tames flyaways.","Hair Products","Styling","HAIR007","active","approved",true,130,4.9,"{""adds_shine"": true, ""tames_flyaways"": true}","{""dimethicone"": """", ""phenyl_trimethicone"": """"}","[]","",""
"Scalp Soothing Treatment",35.00,"https://example.com/images/hair_scalptreat_1.jpg","{""https://example.com/images/hair_scalptreat_1_thumb1.jpg""}","Calms itchy and irritated scalp.","Hair Products","Treatments","HAIR008","active","approved",false,110,4.6,"{""soothes_scalp"": true, ""reduces_itchiness"": true}","{""tea_tree_oil"": """", ""aloe_vera_extract"": """"}","[]","",""
"Strong Hold Hairspray",24.00,"https://example.com/images/hair_hairspray_1.jpg","{""https://example.com/images/hair_hairspray_1_thumb1.jpg""}","Provides long-lasting hold without stiffness.","Hair Products","Styling","HAIR009","active","approved",false,190,4.5,"{""strong_hold"": true, ""non_stiff"": true}","{""alcohol_denat"": """", ""octylacrylamide_copolymer"": """"}","[]","",""
"Hair Growth Supplement",40.00,"https://example.com/images/hair_supplement_1.jpg","{""https://example.com/images/hair_supplement_1_thumb1.jpg""}","Dietary supplement to support healthy hair growth.","Hair Products","Supplements","HAIR010","active","approved",true,100,4.7,"{""supports_growth"": true, ""strengthens_from_within"": true}","{""biotin"": """", ""keratin_hydrolysate"": """"}","[]","",""
